ID	gdp_2008	gdp_pps_2008	pop_t_2008	gdppercapita
TRA12	1097000	1826000	213,538	5137,2589422023
TRA13	292000	486000	76,609	3811,5626101372
TRA21	1095000	1823000	530,879	2062,6169051705
TRA22	1034000	1721000	312,205	3311,9264585769
TRA23	531000	884000	181,866	2919,732110455
TRA24	405000	674000	112,721	3592,9418653135
TRB11	3196000	5319000	722,065	4426,1943176861
TRB12	2550000	4244000	541,258	4711,2467621726
TRB13	525000	874000	251,552	2087,0436331256
TRB14	378000	629000	84,022	4498,8217371641
TRB21	2609000	4342000	979,671	2663,1389517501
TRB22	900000	1498000	405,509	2219,4328609229
TRB23	861000	1433000	327,886	2625,9126647676
TRB24	684000	1138000	246,469	2775,1968807436
TRC11	5733000	9542000	1560,023	3674,9458181065
TRC12	1579000	2628000	582,762	2709,5109152622
TRC13	559000	930000	118,457	4719,0119621466
TRC21	3787000	6303000	1523,099	2486,3781014891
TRC22	4639000	7721000	1460,714	3175,8441419744
TRC31	2179000	3627000	745,778	2921,7810125802
TRC32	1745000	2904000	472,487	3693,2233056148
TRC33	714000	1188000	416,001	1716,342028024
TRC34	907000	1510000	291,528	3111,193435965
UKC11	6242000	6065000	279,87	22303,2122056669
UKC12	5926000	5758000	277,87	21326,5195954943
UKC13	2810000	2731000	99,823	28149,8251905873
UKC14	9322000	9057000	503,451	18516,2011794594
UKC21	5647000	5486000	310,59	18181,5254837567
UKC22	22152000	21524000	812,963	27248,472562712
UKC23	6903000	6707000	280,975	24568,0220660201
UKD11	4979000	4838000	235,213	21168,0476844392
UKD12	6509000	6325000	261,116	24927,618376507
UKD21	10774000	10468000	314,088	34302,4884745676
UKD22	21552000	20940000	687,82	31333,779186415
UKD31	46512000	45192000	1400,85	33202,698361709
UKD32	21687000	21072000	1171,87	18506,3189602942
UKD41	3160000	3070000	139,491	22653,7912840255
UKD42	2315000	2249000	141,183	16397,1582980954
UKD43	28311000	27508000	1165,72	24286,2780084411
UKD51	6333000	6154000	326,394	19402,9302009228
UKD52	12523000	12167000	441,852	28342,0692901696
UKD53	4469000	4342000	274,616	16273,6330002622
UKD54	5075000	4931000	308,683	16440,8146869118
UKE11	6191000	6016000	260,296	23784,4607677413
UKE12	6452000	6269000	334,979	19260,9088927963
UKE13	8137000	7907000	317,289	25645,3895344623
UKE21	5772000	5608000	193,703	29798,1962075962
UKE22	15229000	14797000	591,344	25753,1994913282
UKE31	14952000	14528000	766,294	19512,093269685
UKE32	14054000	13655000	537,471	26148,3875409092
UKE41	11093000	10779000	498,811	22238,8840663097
UKE42	26039000	25300000	775,717	33567,6541831622
UKE43	20877000	20284000	923,706	22601,3471818955
UKF11	7739000	7519000	242,458	31918,9302889573
UKF12	5411000	5258000	272,774	19836,9346052043
UKF13	10294000	10002000	483,472	21291,8224840322
UKF14	11040000	10727000	294,447	37494,0142028956
UKF15	9982000	9699000	438,246	22777,1616854461
UKF16	6680000	6491000	333,07	20055,8441168523
UKF21	8709000	8462000	302,32	28807,2241333686
UKF22	19281000	18734000	676,963	28481,6156865294
UKF23	20390000	19811000	675,861	30168,9252671777
UKF30	14695000	14278000	693,594	21186,746136789
UKG11	4179000	4061000	178,612	23397,0841824737
UKG12	12700000	12339000	554,356	22909,4661192447
UKG13	16223000	15763000	531,226	30538,7913995173
UKG21	4645000	4513000	161,51	28759,8291127484
UKG22	6191000	6015000	289,692	21370,973309584
UKG23	5135000	4989000	238,732	21509,4750598998
UKG24	18171000	17656000	825,604	22009,3410400143
UKG31	28969000	28147000	1015,466	28527,7892120465
